order,id,state,latitude,longitude,PD.year,p.date
67,IA-10033-A-2014,IA,42.94029819,-93.30623443,2014,5/17/2014
68,IA-10033-B-2014,IA,42.94029819,-93.30623443,2014,5/17/2014
69,IA-10034-A-2014,IA,43.13111599,-92.49033842,2014,5/26/2014
70,IA-10034-B-2014,IA,43.13111599,-92.49033842,2014,5/26/2014
71,IA-10035-A-2014,IA,43.13111599,-92.49033842,2014,5/26/2014
72,IA-10035-B-2014,IA,43.13111599,-92.49033842,2014,5/26/2014
73,IA-10036-A-2014,IA,42.64100152,-93.98705762,2014,5/21/2014
74,IA-10036-B-2014,IA,42.64100152,-93.98705762,2014,5/21/2014
75,IA-10036-C-2014,IA,42.64100152,-93.98705762,2014,5/21/2014
76,IA-10037-A-2014,IA,42.03933425,-94.11009333,2014,5/17/2014
77,IA-10037-B-2014,IA,42.03933425,-94.11009333,2014,5/17/2014
78,IA-10038-A-2014,IA,42.52386751,-96.02474393,2014,5/17/2014
79,IA-10038-B-2014,IA,42.52386751,-96.02474393,2014,5/17/2014
80,IA-10039-A-2014,IA,42.10512779,-93.6813216,2014,5/24/2014
81,IA-10039-B-2014,IA,42.10512779,-93.6813216,2014,5/24/2014
82,IA-10040-A-2014,IA,41.33510388,-94.53601336,2014,4/22/2014
83,IA-10040-B-2014,IA,41.33510388,-94.53601336,2014,4/22/2014
84,IA-10041-A-2014,IA,41.53841441,-95.29083989,2014,5/17/2014
85,IA-10041-B-2014,IA,41.53841441,-95.29083989,2014,5/17/2014
86,IA-10042-A-2014,IA,42.28660698,-91.19607516,2014,5/27/2014
87,IA-10042-B-2014,IA,42.28660698,-91.19607516,2014,5/27/2014
88,IA-10043-A-2014,IA,42.2818006,-91.21549285,2014,5/27/2014
89,IA-10043-B-2014,IA,42.2818006,-91.21549285,2014,5/27/2014
90,IA-10044-A-2014,IA,41.31679382,-91.80713344,2014,5/21/2014
91,IA-10044-B-2014,IA,41.31679382,-91.80713344,2014,5/21/2014
92,IA-10045-A-2014,IA,42.47826628,-91.84128784,2014,5/10/2014
93,IA-10045-B-2014,IA,42.47826628,-91.84128784,2014,5/10/2014
94,IA-10046-A-2014,IA,43.28799692,-92.88693747,2014,5/22/2014
95,IA-10046-B-2014,IA,43.28799692,-92.88693747,2014,5/22/2014
96,IA-10047-A-2014,IA,43.28799692,-92.88693747,2014,5/22/2014
97,IA-10047-B-2014,IA,43.28799692,-92.88693747,2014,5/22/2014
98,IA-10048-A-2014,IA,42.11361387,-95.18055959,2014,5/16/2014
99,IA-10048-B-2014,IA,42.11361387,-95.18055959,2014,5/16/2014
100,IA-10049-A-2014,IA,41.33355267,-91.99666817,2014,5/21/2014
101,IA-10049-B-2014,IA,41.33355267,-91.99666817,2014,5/21/2014
102,IA-10050-A-2014,IA,41.44292871,-92.01770438,2014,5/21/2014
103,IA-10050-B-2014,IA,41.44292871,-92.01770438,2014,5/21/2014
104,IA-10051-A-2014,IA,43.04978647,-91.57304285,2014,5/23/2014
105,IA-10051-B-2014,IA,43.04978647,-91.57304285,2014,5/23/2014
106,IA-10052-A-2014,IA,42.03031923,-94.15424662,2014,5/7/2014
107,IA-10052-B-2014,IA,42.03031923,-94.15424662,2014,5/7/2014
108,IA-10053-A-2014,IA,42.88239608,-94.84359636,2014,5/20/2014
109,IA-10053-B-2014,IA,42.88239608,-94.84359636,2014,5/20/2014
110,IA-10054-A-2014,IA,41.16753492,-91.45094733,2014,5/10/2014
111,IA-10054-B-2014,IA,41.16753492,-91.45094733,2014,5/10/2014
112,IA-10055-A-2014,IA,41.63619507,-92.88839644,2014,5/3/2014
113,IA-10055-B-2014,IA,41.63619507,-92.88839644,2014,5/3/2014
114,IA-10056-A-2014,IA,42.78286239,-93.56263825,2014,5/21/2014
115,IA-10056-B-2014,IA,42.78286239,-93.56263825,2014,5/21/2014
116,IA-10057-A-2014,IA,42.81525861,-95.7945657,2014,5/10/2014
117,IA-10057-B-2014,IA,42.81525861,-95.7945657,2014,5/10/2014
118,IA-10058-A-2014,IA,42.81525861,-95.7945657,2014,5/10/2014
119,IA-10058-B-2014,IA,42.81525861,-95.7945657,2014,5/10/2014
120,IA-10059-A-2014,IA,41.58994502,-93.06775896,2014,5/16/2014
121,IA-10059-B-2014,IA,41.58994502,-93.06775896,2014,5/16/2014
122,IA-10060-A-2014,IA,42.76199747,-93.54201525,2014,5/20/2014
123,IA-10060-B-2014,IA,42.76199747,-93.54201525,2014,5/20/2014
124,IA-10061-A-2014,IA,42.72836137,-94.00652263,2014,5/9/2014
125,IA-10061-B-2014,IA,42.72836137,-94.00652263,2014,5/9/2014
126,IA-10062-A-2014,IA,42.72836137,-94.00652263,2014,5/9/2014
127,IA-10062-B-2014,IA,42.72836137,-94.00652263,2014,5/9/2014
128,IA-10063-A-2014,IA,43.15964539,-92.33283768,2014,5/23/2014
129,IA-10063-B-2014,IA,43.15964539,-92.33283768,2014,5/23/2014
130,IA-10064-A-2014,IA,43.15964539,-92.33283768,2014,5/23/2014
131,IA-10064-B-2014,IA,43.15964539,-92.33283768,2014,5/23/2014
132,IA-10065-A-2014,IA,42.96135512,-95.32378392,2014,5/20/2014
133,IA-10065-B-2014,IA,42.96135512,-95.32378392,2014,5/20/2014
134,IA-10066-A-2014,IA,43.08938856,-94.62939336,2014,5/17/2014
135,IA-10066-B-2014,IA,43.08938856,-94.62939336,2014,5/17/2014
136,IA-10067-A-2014,IA,42.43265996,-96.01158868,2014,5/20/2014
137,IA-10067-B-2014,IA,42.43265996,-96.01158868,2014,5/20/2014
138,IA-10068-A-2014,IA,40.94130333,-94.69206796,2014,5/10/2014
139,IA-10068-B-2014,IA,40.94130333,-94.69206796,2014,5/10/2014
140,IA-10069-A-2014,IA,42.01163752,-94.27795015,2014,5/6/2014
141,IA-10069-B-2014,IA,42.01163752,-94.27795015,2014,5/6/2014
142,IA-10070-A-2014,IA,42.08414905,-94.07518731,2014,5/17/2014
143,IA-10070-B-2014,IA,42.08414905,-94.07518731,2014,5/17/2014
144,IA-10071-A-2014,IA,42.05289849,-94.07354882,2014,5/17/2014
145,IA-10071-B-2014,IA,42.05289849,-94.07354882,2014,5/17/2014
146,IA-10072-A-2014,IA,42.06181404,-94.08138719,2014,5/17/2014
147,IA-10072-B-2014,IA,42.06181404,-94.08138719,2014,5/17/2014
148,IA-10073-A-2014,IA,42.96306511,-93.75660833,2014,5/22/2014
149,IA-10073-B-2014,IA,42.96306511,-93.75660833,2014,5/22/2014
150,IA-10074-A-2014,IA,42.95599467,-93.70263988,2014,5/20/2014
151,IA-10074-B-2014,IA,42.95599467,-93.70263988,2014,5/20/2014
152,IA-10075-A-2014,IA,42.95598539,-93.7026278,2014,5/20/2014
153,IA-10075-B-2014,IA,42.95598539,-93.7026278,2014,5/20/2014
154,IA-10076-A-2014,IA,43.44651569,-93.16417176,2014,5/24/2014
155,IA-10076-B-2014,IA,43.44651569,-93.16417176,2014,5/24/2014
156,IA-10077-A-2014,IA,41.54394078,-95.27199662,2014,5/22/2014
157,IA-10077-B-2014,IA,41.54394078,-95.27199662,2014,5/22/2014
158,IA-10078-A-2014,IA,42.29282116,-94.07248596,2014,5/10/2014
159,IA-10078-B-2014,IA,42.29282116,-94.07248596,2014,5/10/2014
160,IA-10079-A-2014,IA,41.28049346,-95.21174158,2014,5/15/2014
161,IA-10079-B-2014,IA,41.28049346,-95.21174158,2014,5/15/2014
162,IA-10080-A-2014,IA,41.28049346,-95.21174158,2014,5/15/2014
163,IA-10080-B-2014,IA,41.28049346,-95.21174158,2014,5/15/2014
164,IA-10081-A-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
165,IA-10081-B-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
166,IA-10081-C-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
167,IA-10081-D-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
168,IA-10081-E-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
169,IA-10081-F-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
170,IA-10081-G-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
171,IA-10081-H-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
172,IA-10081-I-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
173,IA-10081-J-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
174,IA-10081-K-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
175,IA-10081-L-2014,IA,41.86513647,-95.72462242,2014,5/19/2014
176,IA-10082-A-2014,IA,42.85032318,-91.23489892,2014,5/20/2014
177,IA-10082-B-2014,IA,42.85032318,-91.23489892,2014,5/20/2014
178,IA-10083-A-2014,IA,43.27410261,-92.88315393,2014,5/23/2014
179,IA-10083-B-2014,IA,43.27410261,-92.88315393,2014,5/23/2014
180,IA-10084-A-2014,IA,43.33802726,-92.81303302,2014,5/24/2014
181,IA-10084-B-2014,IA,43.33802726,-92.81303302,2014,5/24/2014
182,IA-10085-A-2014,IA,42.84852876,-95.69604116,2014,5/7/2014
183,IA-10085-B-2014,IA,42.84852876,-95.69604116,2014,5/7/2014
184,IA-10086-A-2014,IA,42.84852876,-95.69604116,2014,5/7/2014
185,IA-10086-B-2014,IA,42.84852876,-95.69604116,2014,5/7/2014
186,IA-10087-A-2014,IA,42.71994515,-91.84874795,2014,5/26/2014
187,IA-10087-B-2014,IA,42.71994515,-91.84874795,2014,5/26/2014
188,IA-10088-A-2014,IA,42.72789659,-91.89280819,2014,5/26/2014
189,IA-10088-B-2014,IA,42.72789659,-91.89280819,2014,5/26/2014
190,IA-10089-A-2014,IA,40.68635416,-91.57629696,2014,5/26/2014
191,IA-10089-B-2014,IA,40.68635416,-91.57629696,2014,5/26/2014
192,IA-10090-A-2014,IA,40.70095251,-91.59502512,2014,5/25/2014
193,IA-10090-B-2014,IA,40.70095251,-91.59502512,2014,5/25/2014
194,IA-10091-A-2014,IA,41.8960091,-93.98472757,2014,5/17/2014
195,IA-10091-B-2014,IA,41.8960091,-93.98472757,2014,5/17/2014
196,IA-10092-A-2014,IA,43.29509129,-92.44790309,2014,5/27/2014
197,IA-10092-B-2014,IA,43.29509129,-92.44790309,2014,5/27/2014
198,IA-10093-A-2014,IA,43.30267239,-92.48280058,2014,5/24/2014
199,IA-10093-B-2014,IA,43.30267239,-92.48280058,2014,5/24/2014
200,IA-10094-A-2014,IA,43.28390381,-92.45318324,2014,5/21/2014
201,IA-10094-B-2014,IA,43.28390381,-92.45318324,2014,5/21/2014
202,IA-10095-A-2014,IA,43.34484375,-92.47814844,2014,5/8/2014
203,IA-10095-B-2014,IA,43.34484375,-92.47814844,2014,5/8/2014
204,IA-10096-A-2014,IA,43.27429414,-92.45907439,2014,5/22/2014
205,IA-10096-B-2014,IA,43.27429414,-92.45907439,2014,5/22/2014
206,IA-10097-A-2014,IA,42.55977713,-92.22147729,2014,5/9/2014
207,IA-10097-B-2014,IA,42.55977713,-92.22147729,2014,5/9/2014
208,IA-10098-A-2014,IA,42.50586689,-92.55951679,2014,5/28/2014
209,IA-10098-B-2014,IA,42.50586689,-92.55951679,2014,5/28/2014
210,IA-10099-A-2014,IA,42.50586689,-92.55951679,2014,5/28/2014
211,IA-10099-B-2014,IA,42.50586689,-92.55951679,2014,5/28/2014
212,IA-10100-A-2014,IA,43.27844183,-92.45883501,2014,5/7/2014
213,IA-10100-B-2014,IA,43.27844183,-92.45883501,2014,5/7/2014
214,IA-10101-A-2014,IA,41.84453126,-91.52556831,2014,5/29/2014
215,IA-10101-B-2014,IA,41.84453126,-91.52556831,2014,5/29/2014
216,IA-10102-A-2014,IA,43.34642452,-92.88470069,2014,5/23/2014
217,IA-10102-B-2014,IA,43.34642452,-92.88470069,2014,5/23/2014
218,IA-10103-A-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
219,IA-10103-B-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
220,IA-10104-A-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
221,IA-10104-B-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
222,IA-10105-A-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
223,IA-10105-B-2014,IA,43.04711699,-92.32411605,2014,5/25/2014
224,IA-10106-A-2014,IA,43.14585531,-92.27579248,2014,5/23/2014
225,IA-10106-B-2014,IA,43.14585531,-92.27579248,2014,5/23/2014
226,IA-10107-A-2014,IA,43.13346808,-92.33093927,2014,5/22/2014
227,IA-10107-B-2014,IA,43.13346808,-92.33093927,2014,5/22/2014
228,IA-10108-A-2014,IA,42.03095487,-93.48711944,2014,5/7/2014
229,IA-10108-B-2014,IA,42.03095487,-93.48711944,2014,5/7/2014
230,IA-10109-A-2014,IA,42.67702713,-92.53964728,2014,5/23/2014
231,IA-10109-B-2014,IA,42.67702713,-92.53964728,2014,5/23/2014
232,IA-10110-A-2014,IA,40.52566473,-91.54530544,2014,5/30/2014
233,IA-10110-B-2014,IA,40.52566473,-91.54530544,2014,5/30/2014
234,IA-10111-A-2014,IA,42.88139956,-91.83381402,2014,5/25/2014
235,IA-10111-B-2014,IA,42.88139956,-91.83381402,2014,5/25/2014
236,IA-10112-A-2014,IA,42.80037735,-91.82885575,2014,5/28/2014
237,IA-10112-B-2014,IA,42.80037735,-91.82885575,2014,5/28/2014
238,IA-10113-A-2014,IA,43.34908284,-94.20360505,2014,6/13/2014
239,IA-10113-B-2014,IA,43.34908284,-94.20360505,2014,6/13/2014
240,IA-10114-A-2014,IA,43.34908284,-94.20360505,2014,6/13/2014
241,IA-10114-B-2014,IA,43.34908284,-94.20360505,2014,6/13/2014
242,IA-10115-A-2014,IA,42.66776286,-94.27078833,2014,5/18/2014
243,IA-10115-B-2014,IA,42.66776286,-94.27078833,2014,5/18/2014
244,IA-10116-A-2014,IA,42.66316072,-94.36173577,2014,5/19/2014
245,IA-10116-B-2014,IA,42.66316072,-94.36173577,2014,5/19/2014
246,IA-10117-A-2014,IA,42.72812513,-94.1734944,2014,5/18/2014
247,IA-10117-B-2014,IA,42.72812513,-94.1734944,2014,5/18/2014
248,IA-10118-A-2014,IA,42.08059371,-94.31332054,2014,5/17/2014
249,IA-10118-B-2014,IA,42.08059371,-94.31332054,2014,5/17/2014
250,IA-10119-A-2014,IA,42.08059371,-94.31332054,2014,5/17/2014
251,IA-10119-B-2014,IA,42.08059371,-94.31332054,2014,5/17/2014
252,IA-10120-A-2014,IA,43.08693422,-92.24139847,2014,5/23/2014
253,IA-10120-B-2014,IA,43.08693422,-92.24139847,2014,5/23/2014
254,IA-10121-A-2014,IA,43.28,-94.173,2014,5/19/2014
255,IA-10121-B-2014,IA,43.28,-94.173,2014,5/19/2014
256,IA-10122-A-2014,IA,43.288,-94.153,2014,5/17/2014
257,IA-10122-B-2014,IA,43.288,-94.153,2014,5/17/2014
258,IA-10123-A-2015,IA,42.32302222,-93.35936318,2015,5/9/2015
259,IA-10123-B-2015,IA,42.32302222,-93.35936318,2015,5/9/2015
260,IA-10126-A-2015,IA,42.26482836,-93.41103317,2015,5/13/2015
261,IA-10126-B-2015,IA,42.26482836,-93.41103317,2015,5/13/2015
262,IA-10127-A-2015,IA,42.26482836,-93.41103317,2015,5/13/2015
263,IA-10128-B-2015,IA,42.25978834,-93.40802961,2015,5/12/2015
264,IA-10129-A-2015,IA,41.1221641,-95.43251237,2015,6/20/2015
265,IA-10129-B-2015,IA,41.1221641,-95.43251237,2015,6/20/2015
266,IA-10130-A-2015,IA,42.8706645,-94.07300491,2015,NA
267,IA-10130-B-2015,IA,42.8706645,-94.07300491,2015,NA
268,IA-10131-A-2015,IA,43.35856189,-92.76610919,2015,5/20/2015
269,IA-10131-B-2015,IA,43.35856189,-92.76610919,2015,5/20/2015
270,IA-10132-A-2015,IA,43.39515518,-92.47433484,2015,5/12/2015
271,IA-10132-B-2015,IA,43.39515518,-92.47433484,2015,5/12/2015
272,IA-10133-A-2015,IA,43.17995988,-92.82310223,2015,5/2/2015
273,IA-10133-B-2015,IA,43.17995988,-92.82310223,2015,5/2/2015
274,IA-10135-A-2015,IA,43.23780756,-92.71754197,2015,5/12/2015
275,IA-10135-B-2015,IA,43.23780756,-92.71754197,2015,5/12/2015
276,IA-10136-A-2015,IA,43.27314737,-92.91951875,2015,5/12/2015
277,IA-10136-B-2015,IA,43.27314737,-92.91951875,2015,5/12/2015
278,IA-10137-A-2015,IA,43.27314737,-92.91951875,2015,5/10/2015
279,IA-10137-B-2015,IA,43.27314737,-92.91951875,2015,5/10/2015
280,IA-10138-A-2015,IA,41.50716973,-92.90202503,2015,5/13/2015
281,IA-10138-B-2015,IA,41.50716973,-92.90202503,2015,5/13/2015
282,IA-10139-A-2015,IA,42.29317927,-95.3177944,2015,5/10/2015
283,IA-10139-B-2015,IA,42.29317927,-95.3177944,2015,5/10/2015
284,IA-10140-A-2015,IA,42.25102246,-93.31522033,2015,5/16/2015
285,IA-10140-B-2015,IA,42.25102246,-93.31522033,2015,5/16/2015
286,IA-10141-A-2015,IA,42.25102246,-93.31522033,2015,5/16/2015
287,IA-10141-B-2015,IA,42.25102246,-93.31522033,2015,5/16/2015
288,IA-10142-A-2015,IA,43.28794713,-92.87772644,2015,5/12/2015
289,IA-10142-B-2015,IA,43.28794713,-92.87772644,2015,5/12/2015
290,IA-10144-A-2015,IA,43.27764989,-92.87538351,2015,5/13/2015
291,IA-10144-B-2015,IA,43.27764989,-92.87538351,2015,5/13/2015
292,IA-10145-A-2015,IA,41.92639741,-94.15178121,2015,5/12/2015
293,IA-10145-B-2015,IA,41.92639741,-94.15178121,2015,5/12/2015
294,IA-10148-A-2015,IA,42.47288728,-91.61533187,2015,5/14/2015
295,IA-10148-B-2015,IA,42.47288728,-91.61533187,2015,5/14/2015
296,IA-10149-A-2015,IA,42.50932229,-92.56677113,2015,5/22/2015
297,IA-10149-B-2015,IA,42.50932229,-92.56677113,2015,5/22/2015
298,IA-10150-A-2015,IA,40.94473,-94.58251922,2015,5/10/2015
299,IA-10150-B-2015,IA,40.94473,-94.58251922,2015,5/10/2015
300,IA-10151-A-2015,IA,40.69346979,-91.64958196,2015,5/22/2015
301,IA-10151-B-2015,IA,40.69346979,-91.64958196,2015,5/22/2015
302,IA-10153-A-2015,IA,40.70579004,-92.45218193,2015,5/4/2015
303,IA-10153-B-2015,IA,40.70579004,-92.45218193,2015,5/4/2015
304,IA-10153-C-2015,IA,40.70579004,-92.45218193,2015,5/4/2015
305,IA-10154-A-2015,IA,40.73752493,-92.34493294,2015,5/10/2015
306,IA-10154-B-2015,IA,40.73752493,-92.34493294,2015,5/10/2015
307,IA-10154-C-2015,IA,40.73752493,-92.34493294,2015,5/10/2015
308,IA-10155-A-2015,IA,41.91217418,-93.35499822,2015,5/1/2015
309,IA-10155-B-2015,IA,41.91217418,-93.35499822,2015,5/1/2015
310,IA-10156-A-2015,IA,41.59438988,-93.06635367,2015,5/2/2015
311,IA-10156-B-2015,IA,41.59438988,-93.06635367,2015,5/2/2015
312,IA-10156-C-2015,IA,41.59438988,-93.06635367,2015,5/2/2015
313,IA-10157-A-2015,IA,41.91015066,-94.24649706,2015,4/29/2015
314,IA-10157-B-2015,IA,41.91015066,-94.24649706,2015,4/29/2015
315,IA-10158-A-2015,IA,41.88850098,-94.20955735,2015,4/29/2015
316,IA-10158-B-2015,IA,41.88850098,-94.20955735,2015,4/29/2015
317,IA-10159-A-2015,IA,42.02725444,-94.16774786,2015,4/30/2015
318,IA-10159-B-2015,IA,42.02725444,-94.16774786,2015,4/30/2015
319,IA-10160-A-2015,IA,42.07537453,-94.26633458,2015,5/3/2015
320,IA-10160-B-2015,IA,42.07537453,-94.26633458,2015,5/3/2015
321,IA-10161-A-2015,IA,42.11601887,-93.87901562,2015,4/30/2015
322,IA-10161-B-2015,IA,42.11601887,-93.87901562,2015,4/30/2015
323,IA-10162-A-2015,IA,42.15555867,-94.04487189,2015,5/8/2015
324,IA-10162-B-2015,IA,42.15555867,-94.04487189,2015,5/8/2015
325,IA-10163-A-2015,IA,42.07372979,-93.82999087,2015,5/4/2015
326,IA-10163-B-2015,IA,42.07372979,-93.82999087,2015,5/4/2015
327,IA-10164-A-2015,IA,42.12031014,-93.87916636,2015,5/1/2015
328,IA-10164-B-2015,IA,42.12031014,-93.87916636,2015,5/1/2015
329,IA-10166-A-2015,IA,42.28047015,-94.09876616,2015,5/8/2015
330,IA-10166-B-2015,IA,42.28047015,-94.09876616,2015,5/8/2015
331,IA-10169-A-2015,IA,41.82253546,-93.37112107,2015,5/12/2015
332,IA-10169-B-2015,IA,41.82253546,-93.37112107,2015,5/12/2015
333,IA-10169-C-2015,IA,41.82253546,-93.37112107,2015,5/12/2015
334,IA-10174-A-2015,IA,41.53906743,-95.28610151,2015,5/22/2015
335,IA-10174-B-2015,IA,41.53906743,-95.28610151,2015,5/22/2015
336,IA-10175-A-2015,IA,41.5940265,-92.93434481,2015,4/28/2015
337,IA-10175-B-2015,IA,41.5940265,-92.93434481,2015,4/28/2015
338,IA-10176-A-2015,IA,41.63261927,-92.87811783,2015,4/29/2015
339,IA-10176-B-2015,IA,41.63261927,-92.87811783,2015,4/29/2015
340,IA-10177-A-2015,IA,41.02182808,-93.88706081,2015,6/8/2015
341,IA-10177-B-2015,IA,41.02182808,-93.88706081,2015,6/8/2015
342,IA-10178-A-2015,IA,41.12651725,-95.43258458,2015,5/23/2015
343,IA-10178-B-2015,IA,41.12651725,-95.43258458,2015,5/23/2015
344,IA-10179-A-2015,IA,41.5787747,-92.9764531,2015,5/5/2015
345,IA-10179-B-2015,IA,41.5787747,-92.9764531,2015,5/5/2015
346,IA-10180-A-2015,IA,43.19464513,-92.30070773,2015,5/3/2015
347,IA-10180-B-2015,IA,43.19464513,-92.30070773,2015,5/3/2015
348,IA-10181-A-2015,IA,43.19464513,-92.30070773,2015,5/3/2015
349,IA-10181-B-2015,IA,43.19464513,-92.30070773,2015,5/3/2015
350,IA-10182-A-2015,IA,43.35964067,-94.91663533,2015,5/20/2015
351,IA-10182-B-2015,IA,43.35964067,-94.91663533,2015,5/20/2015
352,IA-10183-A-2015,IA,43.39416157,-92.46014504,2015,5/14/2015
353,IA-10183-B-2015,IA,43.39416157,-92.46014504,2015,5/14/2015
354,IA-10184-A-2015,IA,43.00458238,-92.31105647,2015,5/13/2015
355,IA-10184-B-2015,IA,43.00458238,-92.31105647,2015,5/13/2015
356,IA-10185-A-2015,IA,42.6320476,-94.2234518,2015,5/13/2015
357,IA-10185-B-2015,IA,42.6320476,-94.2234518,2015,5/13/2015
358,IA-10186-A-2015,IA,42.6320476,-94.2234518,2015,5/13/2015
